price,bedRoom,bathroom,balcony,floorNum,agePossession,sector,Servant_Room,Study_Room,Pooja_Room,Store_Room,Built_Up_Area,furnishing_type,luxury_category,Latitude,Longitude
500.0,3.0,4.0,3.0,8.0,Relatively New,sector 53,1,0,1,0,2500.0,Fully Furnished,Semi Luxurious,28.4433° N, 77.0948° E
165.0,3.0,3.0,3.0,5.0,Moderately Old,sector 56,0,1,0,0,1884.0,Fully Furnished,Semi Luxurious,28.4245° N, 77.0991° E
160.0,3.0,3.0,2.0,3.0,New Property,sector 67,0,0,0,1,1381.6,Fully Furnished,Luxurious,28.3859° N, 77.0608° E
138.0,3.0,3.0,3.0,5.0,Moderately Old,sector 56,0,1,0,0,1910.0,Fully Furnished,Semi Luxurious,28.4245° N, 77.0991° E
180.0,3.0,3.0,2.0,3.0,New Property,sector 67,0,1,0,1,1536.8000000000002,Fully Furnished,Luxurious,28.3859° N, 77.0608° E
162.0,3.0,3.0,2.0,4.0,New Property,sector 67,0,0,0,1,1381.6,Fully Furnished,Luxurious,28.3859° N, 77.0608° E
150.0,3.0,5.0,3.0,4.0,Moderately Old,sector 56,0,1,1,0,2250.0,Fully Furnished,Semi Luxurious,28.4245° N, 77.0991° E
185.0,3.0,4.0,3.0,4.0,New Property,sector 67,0,1,0,1,1941.0,Fully Furnished,Luxurious,28.3859° N, 77.0608° E
180.0,3.0,3.0,3.0,6.0,New Property,sector 67,1,0,0,1,1536.8000000000002,Fully Furnished,Luxurious,28.3859° N, 77.0608° E
180.0,4.0,3.0,3.0,12.0,Relatively New,sector 37,0,1,0,0,1752.8000000000002,Fully Furnished,Luxurious,28.4375° N, 76.9999° E
162.0,3.0,3.0,3.0,9.0,Relatively New,sector 70,1,0,0,0,1560.0,Unfurnished,Luxurious,28.3968° N, 77.0233° E
178.0,4.0,3.0,3.0,10.0,Relatively New,sector 37,1,0,0,0,1752.8000000000002,Unfurnished,Luxurious,28.4375° N, 76.9999° E
155.0,3.0,3.0,3.0,11.0,Relatively New,sector 37,0,0,0,0,1448.8000000000002,Fully Furnished,Luxurious,28.4375° N, 76.9999° E
250.0,4.0,4.0,3.0,2.0,Relatively New,sector 43,0,0,0,0,2120.0,Fully Furnished,Semi Luxurious,28.4629° N, 77.0772° E
215.0,3.0,4.0,3.0,10.0,Moderately Old,sector 47,1,0,0,0,1950.0,Unfurnished,Semi Luxurious,28.4276° N, 77.0492° E
560.0,4.0,6.0,3.0,15.0,Moderately Old,sector 112,1,0,0,0,3662.34,Fully Furnished,Luxurious,28.5189° N, 77.0183° E
125.0,3.0,4.0,3.0,3.0,Relatively New,sector 77,1,1,0,0,1160.0,Fully Furnished,Semi Luxurious,28.3801° N, 76.9845° E
110.0,3.0,4.0,3.0,9.0,Relatively New,sector 77,1,0,0,0,1661.6,Unfurnished,Semi Luxurious,28.3801° N, 76.9845° E
600.0,3.0,3.0,2.0,8.0,Moderately Old,mg road,1,0,0,0,3222.0,Unfurnished,Not Luxurious,28.4790° N, 77.0720° E
700.0,4.0,3.0,2.0,10.0,Moderately Old,mg road,1,0,0,0,2520.0,Unfurnished,Not Luxurious,28.4790° N, 77.0720° E
600.0,4.0,3.0,3.0,5.0,Moderately Old,sector 50,1,0,0,0,3520.0,Unfurnished,Semi Luxurious,28.4178° N, 77.0628° E
350.0,4.0,5.0,3.0,16.0,Relatively New,sector 72,1,0,0,0,2625.0,Unfurnished,Semi Luxurious,28.4225° N, 77.0211° E
400.0,4.0,5.0,2.0,7.0,Moderately Old,sector 72,1,0,0,0,2324.0,Unfurnished,Semi Luxurious,28.4225° N, 77.0211° E
700.0,3.0,3.0,2.0,12.0,Moderately Old,sector 65,0,0,0,1,4620.0,Unfurnished,Semi Luxurious,28.4030° N, 77.0690° E
650.0,4.0,5.0,3.0,11.0,Relatively New,sector 112,0,0,0,0,4800.0,Unfurnished,Not Luxurious,28.5189° N, 77.0183° E
340.0,3.0,4.0,3.0,9.0,Moderately Old,sector 72,1,0,0,0,1748.0,Unfurnished,Semi Luxurious,28.4225° N, 77.0211° E
260.0,3.0,2.0,2.0,12.0,Moderately Old,sector 70,1,0,0,0,2598.0,Unfurnished,Semi Luxurious,28.3968° N, 77.0233° E
350.0,4.0,5.0,3.0,10.0,Relatively New,sector 72,1,0,0,0,2625.0,Unfurnished,Semi Luxurious,28.4225° N, 77.0211° E
72.0,3.0,3.0,2.0,4.0,Relatively New,sector 95,0,0,0,0,1800.0,Unfurnished,Semi Luxurious,28.4172° N, 76.9081° E
365.0,3.0,5.0,2.0,3.0,Relatively New,sector 112,1,0,0,0,2800.0,Unfurnished,Semi Luxurious,28.5189° N, 77.0183° E
28.0,2.0,2.0,2.0,5.0,New Property,sector 95,0,0,0,0,613.6,Unfurnished,Not Luxurious,28.4172° N, 76.9081° E
292.0,3.0,3.0,3.0,10.0,Moderately Old,sector 50,1,0,0,0,2600.0,Fully Furnished,Luxurious,28.4178° N, 77.0628° E
182.0,3.0,3.0,3.0,14.0,Moderately Old,sector 50,0,0,0,0,1830.0,Fully Furnished,Luxurious,28.4178° N, 77.0628° E
102.0,2.0,2.0,2.0,11.0,Relatively New,sector 68,0,0,0,0,1250.0,Fully Furnished,Semi Luxurious,28.3853° N, 77.0484° E
65.0,2.0,2.0,3.0,3.0,Relatively New,sector 90,0,1,0,0,1080.0,Unfurnished,Semi Luxurious,28.4085° N, 76.9369° E
39.0,3.0,3.0,3.0,6.0,Relatively New,sector 92,0,0,0,0,770.088,Unfurnished,Semi Luxurious,28.4079° N, 76.9153° E
115.0,3.0,3.0,3.0,18.0,Relatively New,sector 90,0,0,1,0,1454.4,Fully Furnished,Semi Luxurious,28.4085° N, 76.9369° E
142.0,2.0,2.0,2.0,6.0,Relatively New,sector 65,0,1,0,0,1010.0,Fully Furnished,Luxurious,28.4030° N, 77.0690° E
235.0,3.0,3.0,3.0,15.0,Relatively New,sector 49,0,0,0,0,2030.0,Unfurnished,Semi Luxurious,28.4121° N, 77.0480° E
238.0,3.0,4.0,3.0,1.0,Relatively New,sector 49,0,1,0,0,2061.0,Fully Furnished,Semi Luxurious,28.4121° N, 77.0480° E
115.0,3.0,3.0,3.0,9.0,Relatively New,sector 90,1,0,1,0,1544.0,Unfurnished,Luxurious,28.4085° N, 76.9369° E
160.0,4.0,4.0,3.0,10.0,Relatively New,sector 90,1,0,1,0,1891.2,Unfurnished,Luxurious,28.4085° N, 76.9369° E
128.0,3.0,4.0,3.0,12.0,Moderately Old,sector 86,1,0,1,0,1544.0,Unfurnished,Semi Luxurious,28.3986° N, 76.9384° E
175.0,4.0,4.0,3.0,17.0,Relatively New,sector 90,1,0,1,0,2181.6,Unfurnished,Luxurious,28.4085° N, 76.9369° E
175.0,4.0,4.0,3.0,9.0,Relatively New,sector 91,1,0,1,0,1891.2,Unfurnished,Luxurious,28.4014° N, 76.9225° E
